state,year,term,start,end
NT,1996,2,1996-04-15,1996-06-21
ACT,1996,2,1996-04-15,1996-06-28
NSW,1996,3,1996-07-15,1996-09-27
Vic,1996,3,1996-07-15,1996-09-20
Qld,1996,3,1996-07-08,1996-09-20
SA,1996,3,1996-07-22,1996-09-27
WA,1996,3,1996-07-22,1996-09-27
Tas,1996,3,1996-09-23,1996-12-19
NT,1996,3,1996-07-22,1996-09-27
ACT,1996,3,1996-07-15,1996-09-27
NSW,1997,1,1997-02-03,1997-03-27
Vic,1997,1,1997-01-28,1997-04-11
Qld,1997,1,1997-01-28,1997-03-27
SA,1997,1,1997-01-28,1997-04-11
WA,1997,1,1997-01-29,1997-04-11
Tas,1997,1,1997-02-13,1997-05-30
NT,1997,1,1997-01-29,1997-04-04
ACT,1997,1,1997-02-03,1997-03-27
NSW,1997,2,1997-04-07,1997-06-27
Vic,1997,2,1997-04-28,1997-06-27
Qld,1997,2,1997-04-07,1997-06-20
SA,1997,2,1997-04-28,1997-07-04
WA,1997,2,1997-04-28,1997-07-04
Tas,1997,2,1997-06-16,1997-09-05
NT,1997,2,1997-04-14,1997-06-20
ACT,1997,2,1997-04-07,1997-06-27
NSW,1997,3,1997-07-14,1997-09-26
Vic,1997,3,1997-07-14,1997-09-19
Qld,1997,3,1997-07-07,1997-09-19
SA,1997,3,1997-07-21,1997-09-26
WA,1997,3,1997-07-21,1997-09-26
Tas,1997,3,1997-09-22,1997-12-18
NT,1997,3,1997-07-21,1997-09-26
ACT,1997,3,1997-07-14,1997-09-26
NSW,1998,1,1998-01-27,1998-04-09
Vic,1998,1,1998-01-28,1998-04-09
Qld,1998,1,1998-01-27,1998-04-09
SA,1998,1,1998-01-27,1998-04-09
WA,1998,1,1998-01-28,1998-04-09
Tas,1998,1,1998-02-12,1998-05-29
NT,1998,1,1998-01-28,1998-04-03
ACT,1998,1,1998-02-03,1998-04-08
NSW,1998,2,1998-04-27,1998-07-03
Vic,1998,2,1998-04-27,1998-06-26
Qld,1998,2,1998-04-21,1998-06-19
SA,1998,2,1998-04-27,1998-07-03
WA,1998,2,1998-04-28,1998-07-03
Tas,1998,2,1998-06-15,1998-09-04
NT,1998,2,1998-04-14,1998-06-19
ACT,1998,2,1998-04-20,1998-06-26
NSW,1998,3,1998-07-20,1998-09-25
Vic,1998,3,1998-07-13,1998-09-18
Qld,1998,3,1998-07-07,1998-09-18
SA,1998,3,1998-07-20,1998-09-25
WA,1998,3,1998-07-20,1998-09-25
Tas,1998,3,1998-09-21,1998-12-18
NT,1998,3,1998-07-20,1998-10-02
ACT,1998,3,1998-07-13,1998-09-25
NSW,1998,4,1998-10-12,1998-12-18
Vic,1998,4,1998-10-05,1998-12-18
Qld,1998,4,1998-10-05,1998-12-11
SA,1998,4,1998-10-12,1998-12-18
WA,1998,4,1998-10-12,1998-12-11
